kab_kota,nama_tempat,rating,jumlah_ulasan,kategori,latitude,longitude
pontianak,Dapoer Nusantara Pontianak,4.8,178.0,halal,-0.0494883,109.3367327
pontianak,Rumah Makan Selera Anda,4.4,731.0,halal,-0.0385948,109.3420288
pontianak,Pondok Cafe & Resto,4.1,841.0,halal,-0.0393966,109.3434021
pontianak,Restoran & Istana Kue Cita Rasa,4.4,622.0,halal,-0.029,109.3404218
pontianak,Restoran Hello Chick-in,4.4,705.0,halal,-0.0419119,109.3450684
pontianak,TeraSky Restaurant,4.5,470.0,halal,-0.0357589,109.344424
pontianak,Kwecap VETERAN (Non Halal),4.5,731.0,non-halal,-0.0418145,109.3445278
pontianak,Restoran Pondok Terapung,4.6,887.0,halal,-0.0474422,109.3597434
pontianak,Aneka Rasa,4.3,492.0,halal,-0.0241667,109.3292162
pontianak,Rumah Makan Melda,4.4,439.0,halal,-0.0404712,109.3484318
pontianak,NASI AKWANG,4.5,986.0,non-halal,-0.0403689,109.3471917
pontianak,Hore Crab,4.5,744.0,halal,-0.0304926,109.3264878
pontianak,Rumah Makan Arema,4.5,243.0,halal,-0.0250929,109.338201
pontianak,Rumah Makan Annisa,4.1,967.0,halal,-0.028212,109.338468
pontianak,RM RIZQI Tanray2 - Rumah Makan Enak dan Murah Pontianak,4.4,60.0,halal,-0.0494138,109.369759
pontianak,Rumah Makan Sahara,4.4,366.0,halal,-0.0288577,109.343775
pontianak,Terrazza Steak House Pontianak,4.4,799.0,halal,-0.050402,109.344206
pontianak,Warung Padi,4.2,546.0,halal,-0.0421583,109.3239685
pontianak,Cita Rasa,4.4,69.0,halal,-0.036185,109.332298
pontianak,RM Salido,4.6,823.0,halal,-0.0377002,109.3305869
pontianak,YoookkmakandiRumah,4.5,384.0,halal,-0.0334198,109.3267886
pontianak,Rumah Makan Jawi Ria,4.1,816.0,halal,-0.0188837,109.326778
pontianak,BEBEK BEKAES,4.5,706.0,halal,-0.04251,109.330851
pontianak,Rumah Makan Melayu Cahaya Mata,4.4,106.0,halal,-0.0257817,109.3265608
pontianak,Rumah Makan Mery,4.7,141.0,halal,-0.0541542,109.3351587
