kab_kota,nama_tempat,rating,jumlah_ulasan,kategori,latitude,longitude,Harga,link_maps,Latitude,Longitude,kategori_baru
Sintang,My Home Sintang,3.9,1.783,Hotel,0.0659480545033757,111.488519513491,Rp 380.356,https://www.google.com/maps/place/My+Home+Sintang/data=!4m10!3m9!1s0x31fe21fa89a54cb5:0x172a1dc8b1bb7ebf!5m2!4m1!1i2!8m2!3d0.0657603!4d111.4885517!16s%2Fg%2F11cn9qswyt!19sChIJtUylifoh_jERv367scgdKhc?authuser=0&hl=id&rclk=1,0.0657603,111.4885517,Hotel
Sintang,Ladja Hotel Sintang,4.2,551.0,Hotel,0.0612962139881069,111.496356928835,Rp 692.645,https://www.google.com/maps/place/Ladja+Hotel+Sintang/data=!4m10!3m9!1s0x31fe21f29db2a491:0xe6cf25c2fd44563e!5m2!4m1!1i2!8m2!3d0.0610119!4d111.4963462!16s%2Fg%2F11csc93rgn!19sChIJkaSynfIh_jERPlZE_cIlzY?authuser=0&hl=id&rclk=1,0.0610119,111.4963462,Hotel
Sintang,Urbanview Hotel Bagoes Sintang By RedDoorz,4.0,316.0,Hotel,0.0615167103710088,111.491462728836,Rp 111.216,https://www.google.com/maps/place/Urbanview+Hotel+Bagoes+Sintang+By+RedDoorz/data=!4m10!3m9!1s0x31fe21ee257d4775:0x8218b889b9eed0f3!5m2!4m1!1i2!8m2!3d0.0613826!4d111.491452!16s%2Fg%2F11b8c43v_c!19sChIJdUd9Je4h_jER89DuuYm4GII?authuser=0&hl=id&rclk=1,0.0613826,111.491452,Penginapan
Sintang,Hotel Sakura,4.1,469.0,Hotel,0.0737822,111.4837234,Harga tidak ditemukan,https://www.google.com/maps/place/Hotel+Sakura/data=!4m10!3m9!1s0x31fe22038ecfb5b7:0x92585bdfc2bfb04c!5m2!4m1!1i2!8m2!3d0.0737822!4d111.4837234!16s%2Fg%2F11b6hqfl28!19sChIJt7XPjgMi_jERTLC_wt9bWJI?authuser=0&hl=id&rclk=1,0.0737822,111.4837234,Hotel
Sintang,Wisma Alas Sintang,3.9,68.0,Penginapan,0.0434077,111.4717061,Harga tidak ditemukan,https://www.google.com/maps/place/Wisma+Alas+Sintang/data=!4m10!3m9!1s0x31fe1f6333dc6e95:0x5a426080fd6342a9!5m2!4m1!1i2!8m2!3d0.0434077!4d111.4717061!16s%2Fg%2F11d_9f_dpb!19sChIJlW7cM2Mf_jERqUJj_YBgQlo?authuser=0&hl=id&rclk=1,0.0434077,111.4717061,Penginapan
Sintang,HOTEL SARTIKA PURI,4.6,12.0,Hotel,0.0795037,111.4984829,Harga tidak ditemukan,https://www.google.com/maps/place/HOTEL+SARTIKA+PURI/data=!4m7!3m6!1s0x31fe23b65484de6f:0xb440c130d7ab465b!8m2!3d0.0795037!4d111.4984829!16s%2Fg%2F11q8v012qd!19sChIJb96EVLYj_jERW0ar1zDBQLQ?authuser=0&hl=id&rclk=1,0.0795037,111.4984829,Hotel
Sintang,Bless Hotels,4.2,389.0,Hotel,0.0665285,111.4876408,Rp 363.402,https://www.google.com/maps/place/Bless+Hotels/data=!4m10!3m9!1s0x31fe21574560edbf:0x675f74da3ca1e9c5!5m2!4m1!1i2!8m2!3d0.0665285!4d111.4876408!16s%2Fg%2F11h7f_vb33!19sChIJv1gRVch_jERxemhPNp0X2c?authuser=0&hl=id&rclk=1,0.0665285,111.4876408,Hotel
Sintang,Hotel Grand Royal,4.0,327.0,Hotel,0.0632183,111.4861658,Harga tidak ditemukan,https://www.google.com/maps/place/Hotel+Grand+Royal/data=!4m10!3m9!1s0x31fe21fa6356acc7:0x80b2f6cacf9fc154!5m2!4m1!1i2!8m2!3d0.0632183!4d111.4861658!16s%2Fg%2F11c459zwtt!19sChIJx6xWY_oh_jERVMGfz8r2soA?authuser=0&hl=id&rclk=1,0.0632183,111.4861658,Hotel
Sintang,Hotel Emerald Sintang,4.1,147.0,Hotel,0.0725429,111.4832534,Harga tidak ditemukan,https://www.google.com/maps/place/Hotel+Emerald+Sintang/data=!4m7!3m6!1s0x31fe2364c1bfb7b9:0x9fd8919166094f08!8m2!3d0.0725429!4d111.4832534!16s%2Fg%2F11mw768pkz!19sChIJube_wWQj_jERCE8JZpGR2J8?authuser=0&hl=id&rclk=1,0.0725429,111.4832534,Hotel
Sintang,Penginapan PH,4.3,10.0,Penginapan,0.0651049,111.4863875,Harga tidak ditemukan,https://www.google.com/maps/place/Penginapan+PH/data=!4m7!3m6!1s0x31fe21fa1d433689:0x272047bc33ebb773!8m2!3d0.0651049!4d111.4863875!16s%2Fg%2F11dx9tllrg!19sChIJiTZDHfoh_jERc7frM7xHICc?authuser=0&hl=id&rclk=1,0.0651049,111.4863875,Penginapan
Sintang,Penginapan Dream House,4.0,210.0,Penginapan,0.0729617,111.4839159,Harga tidak ditemukan,https://www.google.com/maps/place/Penginapan+Dream+House/data=!4m10!3m9!1s0x31fe22039ed3789d:0x69e5202f967699c1!5m2!4m1!1i2!8m2!3d0.0729617!4d111.4839159!16s%2Fg%2F11gbx9x2f8!19sChIJnXjTngMi_jERwZl2li8g5Wk?authuser=0&hl=id&rclk=1,0.0729617,111.4839159,Penginapan
Sintang,HOTEL SETIA,4.0,409.0,Hotel,0.081685,111.4833549,Rp 219.375,https://www.google.com/maps/place/HOTEL+SETIA/data=!4m10!3m9!1s0x31fe220e92794c3d:0xd4b3edf04a9f3c2e!5m2!4m1!1i2!8m2!3d0.081685!4d111.4833549!16s%2Fg%2F11cntm5lxg!19sChIJPUx5kg4i_jERLjyfSvDts9Q?authuser=0&hl=id&rclk=1,0.081685,111.4833549,Hotel
Sintang,Penginapan Permata Sintang,4.0,137.0,Penginapan,0.0795572,111.498046,Harga tidak ditemukan,https://www.google.com/maps/place/Penginapan+Permata+Sintang/data=!4m7!3m6!1s0x31fe2217c3fc7707:0x97b1bf710476fe2e!8m2!3d0.0795572!4d111.498046!16s%2Fg%2F11b6_9bb0_!19sChIJB3f8wxci_jERLv52BHG_sZc?authuser=0&hl=id&rclk=1,0.0795572,111.498046,Penginapan
Sintang,Penginapan 333,4.3,65.0,Penginapan,0.0813608,111.4812406,Harga tidak ditemukan,https://www.google.com/maps/place/Penginapan+333/data=!4m10!3m9!1s0x31fe23f639b25ae3:0x6732db082e59031a!5m2!4m1!1i2!8m2!3d0.0813608!4d111.4812406!16s%2Fg%2F11fssxj63_!19sChIJ41qyOfYj_jERGgNZLgjbMmc?authuser=0&hl=id&rclk=1,0.0813608,111.4812406,Penginapan
Sintang,Sintang Permai Hotel,3.8,175.0,Hotel,0.0702763,111.4809818,Harga tidak ditemukan,https://www.google.com/maps/place/Sintang+Permai+Hotel/data=!4m7!3m6!1s0x31fe2201f6adfff9:0x7635037198e3bc55!8m2!3d0.0702763!4d111.4809818!16s%2Fg%2F11c0xqk915!19sChIJft9gEi_jERVbzjmHEDNXY?authuser=0&hl=id&rclk=1,0.0702763,111.4809818,Hotel
Sintang,Homestay diputra sintang,3.9,18.0,Penginapan,0.0646549,111.4909819,Harga tidak ditemukan,https://www.google.com/maps/place/Homestay+diputra+sintang/data=!4m10!3m9!1s0x31fe212628a89adf:0x5b565a0d7038b0e3!5m2!4m1!1i2!8m2!3d0.0646549!4d111.4909819!16s%2Fg%2F11lt51mhvf!19sChIJ35qoKCYh_jER47A4cA1aVls?authuser=0&hl=id&rclk=1,0.0646549,111.4909819,Penginapan
